conm,gvkey,tic
ANALOGIC CORP,001633,ALOG
ANALYSTS INTERNATIONAL CORP,001634,ANLY
ANAREN INC,001635,ANEN
MOSCOW CABLECOM CORP,001641,MOCC
CROWN ANDERSEN INC,001642,CRAN
ANDREA ELECTRONICS CORP,001650,ANDR
ANDREW CORP,001651,ANDW
ANGELICA CORP,001655,AGL.1
IQUNIVERSE INC,001656,IQUN
ANDERSONS INC,001659,ANDE
NABORS INDUSTRIES LTD,001661,NBR
ANHEUSER-BUSCH COS INC,001663,BUD.2
BIW LTD,001669,BIW
MAXUM ENERGY LOGISTICS -REDH,001676,MXLP
K2 INC,001677,KTO
APACHE CORP,001678,APA
APOLLO SOLAR ENERGY INC,001681,ASOE
APCO OIL AND GAS INTL INC,001682,APAGF
APOGEE ENTERPRISES INC,001686,APOG
APPALACHIAN POWER,001689,AEP1
APPLE INC,001690,AAPL
APPLIED MAGNETICS CORP,001703,AMPMQ
APPLIED MATERIALS INC,001704,AMAT
SINO SHIPPING HOLDINGS INC,001705,SSHZ
ACTUANT CORP  -CL A,001706,ATU
TRECORA RESOURCES,001712,TREC
ARBOR MEMORIAL SERVICES INC,001715,AROBF
ADVANCED OXYGEN TECHNOLOGY,001718,AOXY
ARCHER-DANIELS-MIDLAND CO,001722,ADM
ARDEN GROUP INC  -CL A,001728,ARDNA
WASHINGTON MUTUAL FINL CORP,001738,WM1
ARIZONA PUBLIC SERVICE CO,001742,PNW1
ARCBEST CORP,001743,ARCB
ENTERGY ARKANSAS,001745,ETR1
ARMSTRONG HOLDINGS INC,001762,3ACKH
ARNOLD INDUSTRIES INC,001766,AIND
ARROW ELECTRONICS INC,001773,ARW
ENTRADE INC,001781,ETAD
ARTS WAY MFG INC,001783,ARTW
ARVIN INDUSTRIES INC,001786,ARV
ASBESTOS CORP LTD,001790,AB.H
ASHLAND GLOBAL HOLDINGS INC,001794,ASH
ASPEN EXPLORATION CORP -OLD,001797,ASPN.1
ASTRO COMMUNICATIONS INC,001814,ASTO
ASSOCIATES CORP NORTH AMER,001816,2080A
ASTREX INC,001819,NWXJ
ASTRONOVA INC,001820,ALOT
ASTROCOM CORP,001822,ATCCQ
ASTRONICS CORP,001823,ATRO
ASTROSYSTEMS INC,001824,3ASTZ
ATCO LTD  -CL I,001828,ACLLF
ASSOCIATES FIRST CAP -CL A,001831,AFS
ATHEY PRODUCTS CORP,001832,3ATPCQ
SOUTHERN CO GAS,001837,SO7
ATLANTIC RICHFIELD CO,001848,ARC.3
ATLAS MINERALS INC,001856,ATMR.1
CEVA LOGISTICS INC-REDH,001858,CEVL
ATWOOD OCEANICS,001860,ATW
REX AMERICAN RESOURCES CORP,001864,REX
AULT INC,001866,AULT.
ASSURANCEAMERICA CORP,001868,ASAM
AUTO GRAPHICS INC,001874,AUGR.1
AUTO-TROL TECHNOLOGY CORP,001875,3ATRC
AUTODESK INC,001878,ADSK
DIALYSIS CORP OF AMERICA,001884,DCAI
AUTOMATIC DATA PROCESSING,001891,ADP
AMBASSADOR FOOD SVCS CORP,001895,ABDR
DELSITE INC,001902,DSIIQ
A V HOMES INC,001906,AVHI
AVERY DENNISON CORP,001913,AVY
AVIALL INC,001914,AVL.1
AVNET INC,001919,AVT
AVON PRODUCTS,001920,AVP
AZZ INC,001926,AZZ
BRITISH AMER TOBACCO PLC,001932,BTI
BI INC,001940,BIAC
BMC INDUSTRIES INC,001943,BMMI
BOC GROUP PLC,001945,BOX.1
BRT APARTMENTS CORP,001949,BRT
BSD MEDICAL CORP,001951,PRSNQ
CERPLEX GROUP INC,001953,CPLXQ
MID-ATLANTIC REALTY TRUST,001956,MRR
BADGER METER INC,001968,BMI
BADGER PAPER MILLS INC,001969,BPMI
BAIRNCO CORP,001971,BZ.2
BAKER (MICHAEL) CORP,001974,BKR
BAKER HUGHES INC,001976,BHI
BALCHEM CORP  -CL B,001979,BCPC
BALDOR ELECTRIC CO,001981,BEZ
PROTECTIVE INSURANCE CORP,001982,PTVCB
BALL CORP,001988,BLL
BALTEK CORP,001992,BTEK
CONSTELLATION ENERGY GRP INC,001995,CEG
BANK ONE CORP,001998,ONE.1
POPULAR INC,002002,BPOP
BANK OF HAWAII CORP,002005,BOH
BANCTEC INC-REDH,002006,BTEC.1
FIRST BANKS AMER INC,002007,FBA
