conm,gvkey,tic,year,num_reports
CONSECO FINANCE CORP,5331,3CNCEQ1,2006,2
CRITICAL PATH INC,119273,3CPTH,2002,1
CRONOS GROUP,61921,CRNS,1999,1
CRONOS GROUP,61921,CRNS,2000,2
CRONOS GROUP,61921,CRNS,2002,1
CRONOS GROUP,61921,CRNS,2004,1
CSK AUTO CORP,66646,CAO,2009,4
CSK AUTO CORP,66646,CAO,2012,1
CTS CORP,2577,CTS,2004,1
CTS CORP,2577,CTS,2005,1
CTS CORP,2577,CTS,2006,2
CUMMINS INC,3650,CMI,2006,1
CUMULUS MEDIA INC,112030,CMLS,2003,1
CUMULUS MEDIA INC,112030,CMLS,2004,1
CUTTER & BUCK INC,61171,CBUK,2003,1
CUTTER & BUCK INC,61171,CBUK,2004,2
CUTTER & BUCK INC,61171,CBUK,2005,1
CYBEAR GROUP,117841,CYBA.,2003,2
CYBERGUARD CORP,30760,CGFW,2002,3
CYBERGUARD CORP,30760,CGFW,2003,1
CYLINK CORP,62167,CYLK,2000,2
CYLINK CORP,62167,CYLK,2001,1
CYLINK CORP,62167,CYLK,2002,1
CYPRESS BIOSCIENCE INC,5841,CYPB,2000,1
DALECO RESOURCES CORP,10994,DLOV,2008,1
DAXOR CORP,3807,DXR,2008,1
DELTA & PINE LAND CO,28524,DLP,2007,2
DIAGNOSTIC PRODUCTS CORP,3917,DP,2005,1
DIATECT INTERNATIONAL CORP,22965,DTCT,2010,1
DOLLAR GENERAL CORP,4016,DG,2005,1
DOLLAR GENERAL CORP,4016,DG,2006,1
DOLLAR GENERAL CORP,4016,DG,2007,2
DORAL FINANCIAL CORP,15261,DRLCQ,2007,1
DORAL FINANCIAL CORP,15261,DRLCQ,2008,2
DORAL FINANCIAL CORP,15261,DRLCQ,2009,1
DT INDUSTRIES INC,30068,DTIIQ,2004,2
DT INDUSTRIES INC,30068,DTIIQ,2005,1
DUANE READE INC,66367,DRD.1,2011,2
DUKE ENERGY CORP,4093,DUK,2005,1
DYNAMICS RESEARCH CORP,4127,DRCO,2004,1
DYNEGY HOLDINGS INC,163429,DYN1,2002,1
DYNEGY INC,25495,DYN,2002,2
DYNEGY INC,25495,DYN,2003,3
DYNEGY INC,25495,DYN,2007,5
EAGLE BUILDING TECHNOLOGIES,62291,EGBT,2002,1
EAGLE BUILDING TECHNOLOGIES,62291,EGBT,2003,1
EASTMAN KODAK CO,4194,KODK,2007,1
EBIX INC,13480,EBIX,2008,1
EFUNDS CORP,134144,EFD.1,2004,3
EL PASO CGP CO,3130,EP2,2008,1
EL PASO CORP,4242,EP,2008,1
ELECTRONIC DATA SYSTEMS CORP,5074,EDS.,2007,2
ENGINEERED SUPPORT SYSTEMS,4372,EASI.1,2007,4
ENRON CORP,6127,ENRNQ,2002,1
ENRON CORP,6127,ENRNQ,2003,7
ENRON CORP,6127,ENRNQ,2004,6
ENRON CORP,6127,ENRNQ,2005,2
ENRON CORP,6127,ENRNQ,2007,4
ENRON CORP,6127,ENRNQ,2008,6
ENRON CORP,6127,ENRNQ,2009,1
ENRON CORP,6127,ENRNQ,2010,2
ESOFT INC,66636,ZVLO,2002,2
EXCELLIGENCE LEARNING CORP,143443,LRNS,2006,1
EXPRESS INC,184323,EXPR,2005,1
FERRO CORP,4622,FOE,2007,1
FERROFLUIDICS CORP,4623,FERO.,2000,3
FIRST BANK,177009,FRBA,2009,2
FIRST VIRTUAL COMMUNICATIONS,110100,FVCCQ,2002,2
FIRSTMARK CORP,27749,FIRM,2000,2
FIRSTMARK CORP,27749,FIRM,2001,1
FISCHER IMAGING CORP,24402,FIMG,2004,1
FISCHER IMAGING CORP,24402,FIMG,2005,1
FISCHER IMAGING CORP,24402,FIMG,2010,1
FISCHER IMAGING CORP,24402,FIMG,2011,2
FLAMEMASTER CORP,4758,FAME,2007,1
FORD MOTOR CO,4839,F,2001,1
FRANKLIN BANK CORP,155736,FBTXQ,2012,1
GATEWAY INC,29345,GTW,2003,1
GENERAL ELECTRIC CO,5047,GE,2005,2
GENERAL ELECTRIC CO,5047,GE,2009,1
GENERAL ELECTRIC CO,5047,GE,2010,1
GENERAL MOTORS CO,5073,GM,2009,1
GENERAL MOTORS CO,5073,GM,2011,1
GENESCO INC,5109,GCO,2003,1
GLOBAL CROSSING LTD,113491,GLBC,2005,2
GLOBALSANTAFE CORP,5187,GSF.2,2010,1
GRAND UNION CO,61094,GUCO,2001,1
HAIN CELESTIAL GROUP INC,29609,HAIN,2009,1
HALLIBURTON CO,5439,HAL,2004,1
HALLIBURTON CO,5439,HAL,2009,1
HALLIBURTON CO,5439,HAL,2010,2
HANDLEMAN CO,5458,HDLM,2005,1
HARSCO CORP,5496,HSC,2001,1
HAWK CORP,66050,HWK,2010,1
HELMERICH & PAYNE,5581,HP,2009,1
HI-SHEAR TECHNOLOGY CORP,29934,HSR.1,2012,1
HIA INC,5405,3HIAI,2006,2
HIA INC,5405,3HIAI,2008,1
HOLLINGER INC,14022,HLGAF,2004,1
HOLLINGER INC,14022,HLGAF,2007,1
HOLLINGER INC,14022,HLGAF,2008,1
HOLLINGER INC,14022,HLGAF,2009,1
HUNTINGTON BANCSHARES,5786,HBAN,2005,2
HURON CONSULTING GROUP INC,161997,HURN,2012,1
IBSG INTERNATIONAL INC,66483,IBIN,2009,1
ICH CORP,5823,ICHP,2012,1
ICO INC,5826,ICOC,2004,1
IGO CORP,124975,IGOC,2005,1
IGO CORP,124975,IGOC,2008,2
IKON OFFICE SOLUTIONS,1246,IKN,2000,1
IMPATH INC,62215,IMPHQ,2005,2
INAMED CORP,4675,IMDC.,2000,1
INFORMATION ARCHITECTS CORP,25808,IACH,2006,2
INFORMATION SERVICES GROUP,176251,III,2008,1
INGRAM MICRO INC,63919,IM,2009,1
INTEGRATED SILICON SOLUTION,31488,ISSI,2007,1
INTEL CORP,6008,INTC,2010,2
INTERSTATE BAKERIES CORP,6140,IBCIQ,2006,2
ISTAR INC,15142,STAR,2010,1
IT GROUP INC,6121,ITXG,2003,1
ITEX CORP,25540,ITEX,2000,7
ITEX CORP,25540,ITEX,2002,1
ITEX CORP,25540,ITEX,2008,1
ITXC CORP,124322,ITXC,2002,1
JDN REALTY CORP,29929,JDN.2,2002,3
KB HOME,12689,KBH,2008,1
KB HOME,12689,KBH,2009,1
KELLOGG CO,6375,K,2008,1
KELLOGG CO,6375,K,2009,1
KIMBERLY-CLARK CORP,6435,KMB,2002,1
KOSS CORP,6497,KOSS,2010,1
KOSS CORP,6497,KOSS,2011,2
KOSS CORP,6497,KOSS,2012,1
KROGER CO,6502,KR,2004,3
LATTICE SEMICONDUCTOR CORP,16597,LSCC,2005,1
LATTICE SEMICONDUCTOR CORP,16597,LSCC,2007,1
LIBERATE TECHNOLOGIES,122357,LBTE,2005,1
LION INC,61182,LINN,1999,1
LION INC,61182,LINN,2000,2
LION INC,61182,LINN,2001,1
LION INC,61182,LINN,2002,1
LION INC,61182,LINN,2003,2
LION INC,61182,LINN,2004,2
LION INC,61182,LINN,2005,2
LION INC,61182,LINN,2007,1
LION INC,61182,LINN,2008,2
LOCATEPLUS HOLDINGS CORP,151589,LPHCQ,2010,2
LOCATEPLUS HOLDINGS CORP,151589,LPHCQ,2011,1
LUCENT TECHNOLOGIES INC,62599,LU,2004,1
LUCENT TECHNOLOGIES INC,62599,LU,2005,2
LUCENT TECHNOLOGIES INC,62599,LU,2007,1
LUCENT TECHNOLOGIES INC,62599,LU,2010,2
LUMENIS LTD,19845,LMNS,2006,4
LUMENIS LTD,62471,LUME,2006,4
LUMENIS LTD,19845,LMNS,2008,2
LUMENIS LTD,62471,LUME,2008,2
LUMENIS LTD,19845,LMNS,2009,2
LUMENIS LTD,62471,LUME,2009,2
MARINER ENERGY INC,148281,ME,2003,2
MATERIAL SCIENCES CORP,7107,MASC,2000,1
MAXIM INTEGRATED PRODUCTS,14256,MXIM,2011,1
MAXWELL TECHNOLOGIES INC,7124,MXWL,2011,1
MBIA INC,13561,MBI,2007,2
MCKESSON CORP,7171,MCK,2000,1
MCKESSON CORP,7171,MCK,2001,1
MCKESSON CORP,7171,MCK,2002,1
MCKESSON CORP,7171,MCK,2003,2
MCKESSON CORP,7171,MCK,2004,1
MCKESSON CORP,7171,MCK,2008,1
MCKESSON CORP,7171,MCK,2010,2
MEDQUIST INC,25216,MEDQ,2009,1
MERCATOR SOFTWARE INC,65031,MCTR,2002,1
MERCURY INTERACTIVE CORP,29095,MERQ,2009,1
MERGE HEALTHCARE INC,66630,MRGE.1,2009,1
MERGE HEALTHCARE INC,66630,MRGE.1,2010,1
METLIFE INC,133768,MET,2006,1
MICROSOFT CORP,12141,MSFT,1999,1
MICROSOFT CORP,12141,MSFT,2002,1
MICROSTRATEGY INC,111534,MSTR,2000,2
MICROSTRATEGY INC,111534,MSTR,2005,1
MONSANTO CO,140760,MON,2005,2
MONSANTO CO,140760,MON,2007,2
MONSTER WORLDWIDE INC,64156,MWW,2009,1
MONTANA POWER CO,7537,MTP.1,2007,1
MORGAN STANLEY,12124,MS,2004,1
MORGAN STANLEY,12124,MS,2007,1
MORGAN STANLEY,12124,MS,2012,2
MOTIVE INC,157757,MOTV,2009,1
MQ ASSOCIATES INC,160533,0552B,2007,1
NATCO GROUP INC,128759,NTG.1,2010,2
NATIONAL SEMICONDUCTOR CORP,7772,NSM.2,2003,1
NATURAL HEALTH TRENDS CORP,60911,NHTC,2008,1
NAVISTAR INTERNATIONAL CORP,6081,NAV,2010,3
NCH CORP,7646,NCH,2004,1
NCR CORP,7648,NCR,2000,1
NCR CORP,7648,NCR,2003,1
NEC CORP,7652,NIPNY,2008,1
NESCO INC,31594,NESCQ.,2003,4
NEW CENTURY FINANCIAL CORP,64991,NEWCQ,2009,1
NEW CENTURY FINANCIAL CORP,64991,NEWCQ,2010,2
NEW JERSEY RESOURCES CORP,7849,NJR,2010,1
NEWPARK RESOURCES,7882,NR,2009,2
NEWPARK RESOURCES,7882,NR,2010,2
NIC INC,122078,EGOV,2011,2
NICOR INC,7904,GAS.2,2003,1
NORTEL NETWORKS CORP,7980,NRTLQ,2007,3
NORTEL NETWORKS CORP,7980,NRTLQ,2008,2
NORTHWESTERN CORP,8001,NWE,2006,1
NORTHWESTERN CORP,8001,NWE,2007,5
NORTHWESTERN CORP,8001,NWE,2008,1
NSTAR,2328,NST,2004,1
NSTAR,2328,NST,2005,2
NTS INC,147750,NTS,1999,4
NTS INC,147750,NTS,2000,19
NTS INC,147750,NTS,2001,23
NTS INC,147750,NTS,2002,25
NTS INC,147750,NTS,2003,24
NTS INC,147750,NTS,2004,26
NTS INC,147750,NTS,2005,26
NTS INC,147750,NTS,2006,11
NTS INC,147750,NTS,2007,37
NTS INC,147750,NTS,2008,20
NTS INC,147750,NTS,2009,3
NTS INC,147750,NTS,2010,7
NTS INC,147750,NTS,2011,5
NTS INC,147750,NTS,2012,1
NVIDIA CORP,117768,NVDA,2003,3
OM GROUP INC,29001,OMG,2007,1
ONE PRICE CLOTHING STORES,13339,ONPRQ,2005,1
ONE PRICE CLOTHING STORES,13339,ONPRQ,2007,2
ORACLE CORP,12142,ORCL,2000,1
ORANGE,220940,ORAN,2000,2
ORANGE,220940,ORAN,2002,1
ORANGE,220940,ORAN,2003,1
ORANGE,220940,ORAN,2008,1
ORANGE,220940,ORAN,2010,1
PAID INC,62178,PAYD,2009,1
PARACELSUS HEALTHCARE CORP,62761,3PLHCQ,2001,3
PARENT CO,178593,KIDSQ,2000,1
PARENT CO,178593,KIDSQ,2001,2
PARENT CO,178593,KIDSQ,2002,6
PARENT CO,178593,KIDSQ,2003,3
PARENT CO,178593,KIDSQ,2004,3
PARENT CO,178593,KIDSQ,2005,1
PARENT CO,178593,KIDSQ,2006,2
PARENT CO,178593,KIDSQ,2007,5
PARENT CO,178593,KIDSQ,2008,6
PARENT CO,178593,KIDSQ,2009,4
PARENT CO,178593,KIDSQ,2010,6
PARENT CO,178593,KIDSQ,2011,4
PARENT CO,178593,KIDSQ,2012,2
PAXAR CORP,8293,PXR.1,2009,1
PEGASUS WIRELESS CORP,144398,PGSW,2010,2
PENN TRAFFIC CO,8439,PTFCQ,2005,1
PENN TRAFFIC CO,8439,PTFCQ,2007,1
PEOPLESOFT INC,25944,PSFT.,2002,2
PEPSICO INC,8479,PEP,2004,1
PEREGRINE SYSTEMS INC,64597,PRGN.1,2009,1
PERFORMANCE FOOD GROUP CO,28787,PFGC,2004,1
PERFORMANCE FOOD GROUP CO,28787,PFGC,2007,2
PFIZER INC,8530,PFE,2012,1
PHI INC,8515,PHIKQ,2008,1
PHLO CORP,63437,PHCP,2012,2
PICTURETEL CORP,13608,PCTL.1,2002,3
POLYCOM INC,62730,PLCM,2002,1
POWERCOLD CORP,24122,PWCL.1,2009,2
PREMIER FINANCIAL BANCORP,62895,PFBI,2005,1
PRIMARK CORP,15248,PMK.2,2000,1
PTS INC,114830,PTSH,2005,1
PURCHASEPRO.COM,123138,PROE,2003,1
PURCHASEPRO.COM,123138,PROE,2004,2
PURCHASEPRO.COM,123138,PROE,2005,2
PURCHASEPRO.COM,123138,PROE,2009,1
QUADRAMED CORP,63758,QDHC,2004,3
RANK GROUP PLC,19613,RANKY,2005,1
RAYTHEON CO,8972,RTN,2002,1
RAYTHEON CO,8972,RTN,2006,1
RAYTHEON CO,8972,RTN,2007,3
REFCO INC,163770,RFXCQ,2007,1
REFCO INC,163770,RFXCQ,2008,4
REFCO INC,163770,RFXCQ,2010,1
REGIONS FINANCIAL CORP,4674,RF,2010,1
REGIONS FINANCIAL CORP,4674,RF,2011,1
RENAISSANCERE HOLDINGS LTD,61406,RNR,2006,2
RENAISSANCERE HOLDINGS LTD,61406,RNR,2007,2
RESEARCH INC,9071,RESRQ,2000,1
RH,111873,RH,1999,1
RH,111873,RH,2000,6
RH,111873,RH,2001,12
RH,111873,RH,2002,24
RH,111873,RH,2003,18
RH,111873,RH,2004,19
